"Enseigne","Nombre d'établissement"
"DALLOYAU",2
"DAILY MONOP",2
"DADA",2
"C’EST MON DONUTS",2
"CUCUZZA",2
"CUCINA DA MARIO",2
"CROUSTI POULET",2
"CROQ PIZZA",2
"CROCO",2
"CRISTAL",2
"CRISPY SOUL",2
"CREPES",2
"CREPERIE GENIA",2
"CREPERIE DE PARIS",2
"CREPERIE CHEZ SUZETTE",2
"COUSIN COUSINE",2
"COSY",2
"COSMOS CAFE",2
"COSMO",2
"COSI",2
"CORNER CAFE",2
"COQUIN",2
"CONTRE ALLEE",2
"COMBO",2
"COLCHIDE",2
"COINSTOT VINO",2
"COFFEE SHOP",2
"CLOUD CAKES",2
"CLASICO ARGENTINO",2
"CHUN YANG",2
"CHOUETTE",2
"CHOUCHOU",2
"CHOPE MOI",2
"CHICKEN WORLD",2
"CHICKEN KING",2
"CHEZ VINCENT",2
"CHEZ TOYE",2
"CHEZ SUZETTE",2
"CHEZ SOFIA",2
"CHEZ SAM",2
"CHEZ PRINTEMPS",2
"CHEZ PRADEL",2
"CHEZ PAUL",2
"CHEZ PAOLO",2
"CHEZ OMAR",2
"CHEZ NENESSE",2
"CHEZ MICHEL",2
"CHEZ MARIANNE",2
"CHEZ MARGOT",2
"CHEZ MADEMOISELLE",2
"CHEZ LOULOU",2
"CHEZ LES 2 AMIS",2
"CHEZ LEON",2
"CHEZ LE LIBANAIS",2
"CHEZ L'AMI LOUIS",2
"CHEZ KIM",2
"CHEZ KEVIN",2
"CHEZ JJ",2
"CHEZ HUANG",2
"CHEZ GUSTAVE",2
"CHEZ GIGI",2
"CHEZ GEORGES",2
"CHEZ FERNAND",2
"CHEZ FELIX",2
"CHEZ EUGENE",2
"CHEZ COLETTE",2
"CHEZ CLARA",2
"CHEZ CAMILLE",2
"CHEZ BEBERT",2
"CHEZ ANN",2
"CHEZ AMI",2
"CHANTIER INTERDIT",2
"CHAMROEUN CRIMEE",2
"CESAR",2
"CELTIC CORNER",2
"CASPITA",2
"CASA PIZZA",2
"CARETTE",2
"CAP TIEDO",2
"CANTINETTA VENTURA",2
"CANAL SUSHI",2
"CAMILLE",2
"CAFE PIMPIN",2
"CAFE NUANCES",2
"CAFE MAREVA",2
"CAFE LEON",2
"CAFE KITSUNE",2
"CAFE HUGO",2
"CAFE FOUFOU",2
"CAFE DU NORD",2
"CAFE DU CENTRE",2
"CAFE DES SPORTS",2
"CAFE DES DAMES",2
"CAFE DES ARTS",2
"CAFE DE LA POESIE",2
"CAFE DE LA PAIX",2
"CAFE",2
"BUTCHER",2
"BURGER N JUICE",2
"BUNS",2
"BUN",2
"BUDJI",2
"BRUTUS",2
"BROZ BURGER & CO",2
"BRICKTOP",2
"BREWBERRY",2
"BREATHE",2
"BREAK TIME",2
"BREAKFAST IN AMERICA",2
"BRASSERIE JAJA",2
"BOUILLON CHARTIER",2
"BOON'S",2
"BONJOUR VIET NAM",2
"BONJOUR JACOB",2
"BON APPETIT",2
"BOMBAY CURRY",2
"BOLLY NAN",2
"BOLIVAR",2
"BOL",2
"BOBUN",2
"BOBA TEA COFFEE",2
"BMK",2
"BLACK SHEEP",2
"BISTROT VIVIENNE",2
"BISTROT DU METRO",2
"BISTROT 20",2
"BISTROT 13",2
"BISTROT",2
"BISTRO BURGER",2
"BIG BUDDHA",2
"BIG BANG",2
"BIBIMJOA",2
"BIBIMHOUSE",2
"BIBIMBAPS",2
"BIBIMBAP",2
"BIANCA",2
"BEST OF INDIA",2
"BEST AFRICA",2
"BERRY",2
"BELLA ITALIA",2
"B-EAST",2
"BBT",2
"BASILIC THAI",2
"BARRIO MESHICA",2
"BAR BOL",2
"BARAK",2
"BANH MI VIET",2
"BANHMILA",2
"BANH MI",2
"BANGKOK",2
"BAMBOU D'OR",2
"BAM",2
"BAKUS",2
"BABOO TEA",2
"BABA ZULU",2
"BABA BEY",2
"BABA",2
"AZUR",2
"AYAMA",2
"AVOCATERIA",2
"AVEC AMOUR",2
"AUX DEUX AMIS",2
"AUX BROCHETTES",2
"AUX ARTISTES",2
"AUTOUR DU YANGTSE",2
"AU ROND POINT",2
"AU ROI DU CAFE",2
"AU RENDEZ-VOUS DES AMIS",2
"AU P'TIT GREC",2
"AU POULET BRAISE",2
"AU PIED DE FOUET",2
"AUGUSTIN",2
"AU COIN DES GOURMETS",2
"AU CIEL",2
"AUBRAC CORNER",2
"AU BON ACCUEIL",2
"AUBERGE PYRENEES CEVENNES",2
"AUBERGE DU BONHEUR",2
"AUBERGE DE VENISE",2
"AU BERCAIL",2
"ATELIER FRATELLI",2
"ATA",2
"ASAHI",2
"ARTISAN DE LA TRUFFE",2
"ANTALAYA",2
"ANKKA",2
"ANGELINA",2
"ANATOLIE",2
"AMORE MIO",2
"AMORE",2
"AL TAJ",2
"ALPHA",2
"AL FADI",2
"AL DAR",2
"A LA FOLIE",2
"AKASHI SUSHI",2
"ADEMI",2
"ADELIO PIZZA",2
"ADANA",2
"A COTE",2
"ACA",2
